                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.70058,                0.28803,                0.89485,                0.95688,                0.96491,                0.96815,                0.76357,                0.84921,                0.39706,                0.96905,              0.0002972,              0.0002972,              0.0002972
                     88,                0.70013,                0.28796,                0.89195,                0.95623,                 0.9639,                0.96553,                0.75462,                0.87194,                0.39969,                0.99293,              0.0002774,              0.0002774,              0.0002774
                     89,                0.69809,                0.28653,                0.89165,                0.95876,                0.96481,                0.96651,                0.76505,                0.87051,                 0.3919,                0.99343,              0.0002576,              0.0002576,              0.0002576
                     90,                0.69929,                0.28469,                0.89235,                0.95102,                0.96295,                0.96315,                0.75789,                0.86859,                0.40101,                0.99256,              0.0002378,              0.0002378,              0.0002378
                     91,                0.67367,                0.26016,                0.89608,                0.94447,                0.94737,                0.95026,                0.74253,                0.88068,                0.42826,                 1.0058,               0.000218,               0.000218,               0.000218
                     92,                0.66561,                0.25586,                0.89346,                0.95511,                0.96491,                0.96384,                0.76005,                0.87582,                0.39031,                 0.9997,              0.0001982,              0.0001982,              0.0001982
                     93,                0.66494,                0.25635,                0.88857,                0.95348,                0.96122,                0.96099,                0.75465,                0.87396,                0.39301,                0.99759,              0.0001784,              0.0001784,              0.0001784
                     94,                0.66088,                 0.2544,                0.89095,                0.96168,                0.96356,                0.96365,                0.75155,                0.88961,                0.37719,                 1.0142,              0.0001586,              0.0001586,              0.0001586
                     95,                0.65915,                0.25412,                0.88798,                0.95934,                0.96053,                 0.9629,                 0.7529,                0.88582,                0.37625,                 1.0157,              0.0001388,              0.0001388,              0.0001388
                     96,                0.65667,                0.25326,                0.88842,                0.94859,                0.95783,                0.95799,                0.74768,                0.89672,                0.39097,                 1.0251,               0.000119,               0.000119,               0.000119
                     97,                0.65144,                0.25015,                0.88784,                0.95748,                0.96475,                0.96534,                0.75772,                0.88166,                0.38461,                 1.0101,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.65099,                0.24998,                0.88381,                0.94965,                 0.9558,                0.95854,                0.75186,                 0.8933,                0.39922,                 1.0195,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.64934,                 0.2466,                0.88531,                0.94684,                0.95537,                0.95596,                 0.7495,                 0.8957,                0.39918,                 1.0221,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.64804,                  0.247,                0.88287,                0.95437,                0.95412,                0.95882,                0.75111,                0.89222,                0.39419,                 1.0179,               3.98e-05,               3.98e-05,               3.98e-05
